year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2063,22.350592625499665,72.823,46.49267,58.46026812123533,66.06098953555471,48.86023889210462,0,0,0,0,0,0,0,1,0
2064,17.490725054747163,73.57825,47.38899,59.07883407948478,66.71185461558225,49.301345593877556,0,0,0,0,0,0,0,1,0
2065,17.5119630928722,71.112755,45.66732,57.556766223343914,65.11031026322563,48.45405871503806,0,0,0,0,0,0,0,1,0
2066,19.758725135350225,72.267746,46.32859,58.209822373187166,65.79746647924681,48.77949006620884,0,0,0,0,0,0,0,1,0
2067,12.178518001192955,71.14714,44.850212,57.230729389120306,64.76724904660223,48.05193468023768,0,0,0,0,0,0,0,1,0
2068,19.24620223529309,73.520294,46.322548,58.61947288604915,66.22850735739632,48.776516611759405,0,0,0,0,0,0,0,1,0
2069,16.911342250956594,73.85412,46.54524,58.821257334420686,66.44082820917635,48.88611020961645,0,0,0,0,0,0,0,1,0
2070,33.0396649005872,73.46663,47.414696,59.05271901929178,66.68437592795686,49.313996308885336,0,0,0,0,0,0,0,1,0
2071,7.646199015449434,73.74206,44.6128,57.98655770239236,65.56254379091229,47.935096916625,0,0,0,0,0,0,0,1,0
2072,22.691700101197064,74.18431,46.96882,59.104783956308815,66.73915949460208,49.09456698480497,0,0,0,0,0,0,0,1,0
2073,21.258436652407944,73.91372,46.912457,58.992477575370536,66.62098890884295,49.06682901507092,0,0,0,0,0,0,0,1,0
2074,25.64206402755529,72.90495,46.326283,58.41853887647433,66.01708135103755,48.778354720393736,0,0,0,0,0,0,0,1,0
2075,20.183118413897752,72.71566,47.58372,58.875399099761715,66.49779704808765,49.39717822958382,0,0,0,0,0,0,0,1,0
2076,16.005877630004882,74.43425,47.94693,59.59084784644114,67.2506037610224,49.57592506681935,0,0,0,0,0,0,0,1,0
2077,31.74897888972401,71.88103,47.017708,58.3670844261027,65.96294014828905,49.11862627661624,0,0,0,0,0,0,0,1,0
2078,38.56937018303364,71.63977,48.04597,58.712227018297014,66.3261047516649,49.62466570380569,0,0,0,0,0,0,0,1,0
2079,31.39488275705874,72.56949,47.18706,58.66353757713058,66.27487293620746,49.20196961622559,0,0,0,0,0,0,0,1,0
2080,17.726839830632507,71.67575,45.952858,57.8599042381321,65.42927697263343,48.59458076677275,0,0,0,0,0,0,0,1,0
2081,21.87499235884756,71.65762,47.13894,58.34362424018082,65.93825496220038,49.17828828088852,0,0,0,0,0,0,0,1,0
2082,25.741086697109782,74.1112,49.43953,60.100784324864705,67.78716714995736,50.31047953739491,0,0,0,0,0,0,0,1,0
2083,25.59836511677116,73.137375,47.371082,58.9263727465518,66.55143234155128,49.29253251504929,0,0,0,0,0,0,0,1,0
2084,27.57776040751308,72.531364,45.899406,58.11937180665574,65.70229293398639,48.56827538987258,0,0,0,0,0,0,0,1,0
2085,27.4326137498796,72.26824,46.19983,58.15682509200093,65.7417018850261,48.716123301079996,0,0,0,0,0,0,0,1,0
2086,15.611953839924931,74.42041,47.25578,59.30094579977659,66.94556415079805,49.23578884657394,0,0,0,0,0,0,0,1,0
2087,26.457086412464083,72.65408,46.960194,58.597707663271606,66.20560563887142,49.0903218643017,0,0,0,0,0,0,0,1,0
2088,31.15476367326915,71.61879,47.94468,58.663505077761705,66.27483873984725,49.57481777246132,0,0,0,0,0,0,0,1,0
2089,14.446285236360133,71.419,45.466106,57.57446152174613,65.12892954166647,48.35503510305736,0,0,0,0,0,0,0,1,0
2090,20.5109964672786,71.722824,47.25589,58.413363264012816,66.01163548811213,49.235842980964776,0,0,0,0,0,0,0,1,0
2091,16.294827728063463,72.87375,47.44645,58.87074460207517,66.49289951053512,49.3296234311275,0,0,0,0,0,0,0,1,0
2092,18.58047337435216,73.10002,47.272865,58.873531407704085,66.49583183237485,49.24419690173258,0,0,0,0,0,0,0,1,0
2093,15.957186006200908,73.063156,46.16297,58.40317043992375,66.00091043417413,48.69798335884134,0,0,0,0,0,0,0,1,0
2094,10.568081351449193,73.752495,45.67633,58.42908008713089,66.02817298294207,48.458492813778435,0,0,0,0,0,0,0,1,0
2095,38.312780848615766,73.94058,47.61086,59.289658263852886,66.93368722340765,49.41053466019579,0,0,0,0,0,0,0,1,0
2096,19.666551606372444,72.40557,46.94822,58.510993036445825,66.11436310963775,49.08442908979368,0,0,0,0,0,0,0,1,0
2097,17.711133059596715,71.66669,48.03202,58.71532552293583,66.3293650482312,49.61780047878591,0,0,0,0,0,0,0,1,0
2098,36.57979305241495,73.359024,48.195053,59.3394898178092,66.98612078836726,49.69803404370708,0,0,0,0,0,0,0,1,0
2099,11.04352955577582,74.299835,46.332268,58.87999017283898,66.50262784924311,48.781300123386096,0,0,0,0,0,0,0,1,0
2100,21.036222907443346,73.286896,46.02262,58.418846156879155,66.01740467643657,48.628912797441586,0,0,0,0,0,0,0,1,0
