year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2070,10.333633717205151,78.58879,52.56086,62.86278591710238,70.69338978214915,51.84658224786095,0,0,0,0,1,0,0,0,0
2071,2.9845446859569846,78.25035,49.888596,61.64815341528707,69.41533386918658,50.53147875880955,0,0,0,0,1,0,0,0,0
2072,5.269921847202256,79.694885,51.33039,62.718729645609145,70.54181144935623,51.24103003064998,0,0,0,0,1,0,0,0,0
2073,5.245378037480637,79.37645,51.68975,62.76231541322913,70.58767309717521,51.417882164206205,0,0,0,0,1,0,0,0,0
2074,7.193464328999743,78.79132,51.834057,62.62935970752294,70.44777495877865,51.488900087283625,0,0,0,0,1,0,0,0,0
2075,5.587841402246878,77.201706,52.206055,62.25988774293093,70.05901059728248,51.6719717702162,0,0,0,0,1,0,0,0,0
2076,4.61252988245476,79.817276,52.901436,63.407623585106094,71.26667676578923,52.014190195985535,0,0,0,0,1,0,0,0,0
2077,8.656397355065122,77.6433,51.807854,62.240790975383874,70.03891667039883,51.47600478325542,0,0,0,0,1,0,0,0,0
2078,10.33040397677131,77.97042,53.393074,63.002901901735505,70.84082208154285,52.256140410915734,0,0,0,0,1,0,0,0,0
2079,7.362238462445586,78.65558,52.733673,62.95611039450268,70.79158730278799,51.93162885225837,0,0,0,0,1,0,0,0,0
2080,4.677573750186525,77.72641,51.427948,62.111290008682744,69.90265366411555,51.28904132975249,0,0,0,0,1,0,0,0,0
2081,6.134294396663122,77.30289,52.95175,62.6010493593589,70.41798635373556,52.038951266354374,0,0,0,0,1,0,0,0,0
2082,6.72487793711029,79.627106,54.35119,63.94359420925211,71.83063370283834,52.72765882919926,0,0,0,0,1,0,0,0,0
2083,6.893245779030249,78.67998,52.86573,63.018660127782624,70.85740314120264,51.99661817271984,0,0,0,0,1,0,0,0,0
2084,7.099225286767557,78.763794,51.516663,62.489263179474975,70.30036313191775,51.33270071596253,0,0,0,0,1,0,0,0,0
2085,7.4654658136978,77.49185,51.057873,61.881320051571954,69.6606755653491,51.1069160143979,0,0,0,0,1,0,0,0,0
2086,3.164805860906616,80.19504,51.970177,63.147445630767564,70.99291332502183,51.555888935290284,0,0,0,0,1,0,0,0,0
2087,7.073665352235585,78.212234,51.962265,62.4917461213769,70.30297572344197,51.55199519619663,0,0,0,0,1,0,0,0,0
2088,8.525173112116903,77.52553,52.99284,62.69127241102164,70.51292050418087,52.05917292198613,0,0,0,0,1,0,0,0,0
2089,3.582276739684157,77.73224,50.862976,61.87995410826462,69.65923829776561,51.01100119284373,0,0,0,0,1,0,0,0,0
2090,5.725782127232663,77.42044,51.9448,62.223999443473645,70.0212483496405,51.54340013132419,0,0,0,0,1,0,0,0,0
2091,5.295806894154064,78.437454,52.451324,62.7677665075609,70.5934088265686,51.79267620572712,0,0,0,0,1,0,0,0,0
2092,5.077269572704397,78.98489,51.69574,62.63594747227321,70.45470671112325,51.420830027852695,0,0,0,0,1,0,0,0,0
2093,4.740357274809368,78.4079,50.476913,61.942886946476726,69.72545724537017,50.8210076898464,0,0,0,0,1,0,0,0,0
2094,2.733523248224985,79.65062,51.149666,62.629550779238656,70.44797600752031,51.15209017928973,0,0,0,0,1,0,0,0,0
2095,9.926387841829062,79.33838,53.207405,63.37636741918788,71.23378852378302,52.16476697262196,0,0,0,0,1,0,0,0,0
2096,4.527351616444587,78.40724,52.475876,62.76796126749825,70.59361375611657,51.80475900176194,0,0,0,0,1,0,0,0,0
2097,5.7359077357286585,77.24126,52.963234,62.58551158062762,70.40163725229776,52.04460289675776,0,0,0,0,1,0,0,0,0
2098,10.15551012671627,79.07735,53.45465,63.392554253347114,71.25082057181272,52.286443858644645,0,0,0,0,1,0,0,0,0
2099,3.5550057079949227,78.938156,51.540115,62.55631856155077,70.3709198866809,51.34424216808898,0,0,0,0,1,0,0,0,0
2100,4.890967088282145,78.5884,50.719604,62.10247698110407,69.89338045432477,50.94044341208843,0,0,0,0,1,0,0,0,0
